0,0,0
0,0.02,0
0,0.04,0
0,0.06,0
0,0.08,0
0,0.1,0
0,0.12,0
0,0.14,0
0,0.16,0
0,0.18,0
0,0.2,0
0,0.22,0
0,0.24,0
0,0.26,0
0,0.28,0
0,0.3,0
0,0.32,0
0,0.34,0
0,0.36,0
0,0.38,0
0,0.4,0
0,0.42,0
0,0.44,0
0,0.46,0
0,0.48,0
0,0.5,0
0,0.52,0
0,0.54,0
0,0.56,0
0,0.58,0
0,0.6,0
0,0.62,0
0,0.64,0
0,0.66,0
0,0.68,0
0,0.7,0
0,0.72,0
0,0.74,0
0,0.76,0
0,0.78,0
0,0.8,0
0,0.82,0
0,0.84,0
0,0.86,0
0,0.88,0
0,0.9,0
0,0.92,0
0,0.94,0
0,0.96,0
0,0.98,0
0,1,0
0.02,0,0
0.02,0.02,-4.50398e-005
0.02,0.04,-8.99996e-005
0.02,0.06,-0.000134799
0.02,0.08,-0.000179358
0.02,0.1,-0.000223594
0.02,0.12,-0.000267425
0.02,0.14,-0.000310768
0.02,0.16,-0.000353538
0.02,0.18,-0.000395647
0.02,0.2,-0.000437008
0.02,0.22,-0.000477528
0.02,0.24,-0.000517116
0.02,0.26,-0.000555676
0.02,0.28,-0.000593107
0.02,0.3,-0.00062931
0.02,0.32,-0.000664178
0.02,0.34,-0.000697603
0.02,0.36,-0.000729472
0.02,0.38,-0.000759669
0.02,0.4,-0.000788074
0.02,0.42,-0.00081456
0.02,0.44,-0.000838999
0.02,0.46,-0.000861256
0.02,0.48,-0.000881192
0.02,0.5,-0.000898661
0.02,0.52,-0.000913515
0.02,0.54,-0.000925598
0.02,0.56,-0.000934749
0.02,0.58,-0.000940802
0.02,0.6,-0.000943586
0.02,0.62,-0.000942922
0.02,0.64,-0.000938628
0.02,0.66,-0.000930514
0.02,0.68,-0.000918387
0.02,0.7,-0.000902045
0.02,0.72,-0.000881283
0.02,0.74,-0.00085589
0.02,0.76,-0.00082565
0.02,0.78,-0.000790341
0.02,0.8,-0.000749738
0.02,0.82,-0.00070361
0.02,0.84,-0.000651723
0.02,0.86,-0.000593837
0.02,0.88,-0.000529711
0.02,0.9,-0.000459099
0.02,0.92,-0.000381753
0.02,0.94,-0.000297424
0.02,0.96,-0.000205858
0.02,0.98,-0.000106801
0.02,1,0
0.04,0,0
0.04,0.02,-8.99996e-005
0.04,0.04,-0.000179839
0.04,0.06,-0.000269359
0.04,0.08,-0.000358398
0.04,0.1,-0.000446793
0.04,0.12,-0.000534379
0.04,0.14,-0.00062099
0.04,0.16,-0.000706456
0.04,0.18,-0.000790603
0.04,0.2,-0.000873255
0.04,0.22,-0.00095423
0.04,0.24,-0.00103334
0.04,0.26,-0.0011104
0.04,0.28,-0.0011852
0.04,0.3,-0.00125755
0.04,0.32,-0.00132724
0.04,0.34,-0.00139404
0.04,0.36,-0.00145774
0.04,0.38,-0.00151809
0.04,0.4,-0.00157487
0.04,0.42,-0.00162781
0.04,0.44,-0.00167666
0.04,0.46,-0.00172115
0.04,0.48,-0.00176101
0.04,0.5,-0.00179594
0.04,0.52,-0.00182564
0.04,0.54,-0.00184981
0.04,0.56,-0.00186812
0.04,0.58,-0.00188023
0.04,0.6,-0.00188582
0.04,0.62,-0.00188452
0.04,0.64,-0.00187596
0.04,0.66,-0.00185976
0.04,0.68,-0.00183555
0.04,0.7,-0.00180291
0.04,0.72,-0.00176144
0.04,0.74,-0.00171071
0.04,0.76,-0.00165029
0.04,0.78,-0.00157974
0.04,0.8,-0.0014986
0.04,0.82,-0.00140642
0.04,0.84,-0.00130272
0.04,0.86,-0.00118703
0.04,0.88,-0.00105887
0.04,0.9,-0.000917732
0.04,0.92,-0.000763131
0.04,0.94,-0.000594564
0.04,0.96,-0.000411525
0.04,0.98,-0.000213507
0.04,1,0
0.06,0,0
